aggregate_height,complete_lines,holes,bumpiness,hole_segments,max_height,empty_columns,one_rows,two_rows,three_rows,four_rows
-6.430253224556894,-5.284703354431895,-6.758200996068666,-3.192734995483086,1.0625288190530795,-2.35149612889162,-2.4398773781825724,-3.8967259839208177,-3.9105214561643344,6.523803771391005,2.999022308565433
-6.16649041735292,-5.12649615852439,-6.650405960419066,-2.9516028671724093,0.8279282805660176,-2.437886999882841,-2.6044822035417123,-3.3972675498925335,-3.741884800842222,6.4523015505412555,3.142518914493166
-6.965447384340673,-5.338955208242249,-6.221133971239536,-2.443211509035697,0.017270767323205552,-2.986931099087265,-3.5700098339223936,-3.261404287297905,-4.528927779846368,7.047084135343222,3.572699891472917
-6.478876955364468,-5.315300660400396,-6.782649258536455,-3.2447325582319064,1.1150922431158898,-2.330667832519323,-2.4006233649569273,-3.9988960523235346,-3.939994900807764,6.53461970057387,2.9672258318710893
-6.692062818218492,-5.384933942883944,-6.6238935698213055,-3.0455133451564906,0.8306385570808215,-2.525974371593219,-2.7350982517889557,-3.8888692866110564,-4.177939575997087,6.700345303076649,3.1112051154034908
-6.793192345609001,-5.334134105377771,-6.368903555105878,-2.6381273655974518,0.2910165479985808,-2.808519823926498,-3.26001643322954,-3.3979099714341556,-4.3321795868495645,6.9000407072975065,3.429266336438733
-6.313574743029488,-5.21471859964074,-6.7105166344669875,-3.0860674524848646,0.9587505991958192,-2.389712114503612,-2.512692197218586,-3.6757848577391794,-3.8359231112292633,6.492173949722726,3.0624996663531694
-6.633282485171874,-5.305284135377931,-6.554461252354352,-2.908398560779737,0.6660036225144881,-2.5925523695274375,-2.868600212113617,-3.6557127143251336,-4.145117772961803,6.722313458848129,3.2166504970646317
-6.4480977044389585,-5.295932295562739,-6.7671732925278665,-3.2118176418982634,1.081819131574206,-2.343852328026894,-2.425471501922946,-3.9342214969117175,-3.9213379501120365,6.527773121901629,2.9873532823663087
-6.51773092398705,-5.318193117613182,-6.713325235405403,-3.1435442416349764,0.9850479813424156,-2.4097940508993227,-2.53851869413155,-3.8941008478585184,-3.9998731165895194,6.582791094314311,3.0365056326887467
-6.53412219435506,-5.298849862425341,-6.646788580618249,-3.03401271999118,0.8417309492925248,-2.4822910132761233,-2.691749030337686,-3.7539706226755927,-4.031195125936646,6.631478421672136,3.122153162598103
-6.514190304437736,-5.218956692256965,-6.463590113842082,-2.7303548837103158,0.47513640632818577,-2.6768267415534197,-3.0246723538652636,-3.3381409097666817,-4.084399812586069,6.711146327069537,3.3297303455240788
-6.298394188677932,-5.206217986485058,-6.706245081609034,-3.075375523907873,0.9491819360214339,-2.3926142022021266,-2.518403751510992,-3.6513024033545425,-3.8255358745708348,6.487060008786337,3.0685022208410726
-6.370129765161369,-5.226630986322361,-6.640133415815736,-2.987989611334703,0.8289784097983484,-2.472017511484515,-2.6550909623627237,-3.587744555309846,-3.9108394679348137,6.548409085699266,3.1303860064227944
-6.376892592128321,-5.1962062928228745,-6.5558973661225455,-2.846359968919781,0.6476713017675461,-2.5623192837261897,-2.8245642255483174,-3.397483229601476,-3.940064032682363,6.602620686427377,3.2387884143437145
