Generation,Best Score,aggregate_height,complete_lines,holes,bumpiness,hole_segments,max_height,empty_columns,one_rows,two_rows,three_rows,four_rows
0.0,899.0,-8.40416046152745,-5.344182272779396,-7.979971411805417,-4.440527937798158,2.713688885288004,-2.7033564205983147,-2.5963806576623476,-5.809859384570246,-4.660443559017732,8.73309175424988,2.9607077049318704
1.0,4162.0,7.471745178568947,0.6310948018615774,-6.286216498149248,0.5652612794871587,1.8635538931799074,-3.6611113802893067,-1.885836300375484,6.315012602876463,2.2748162467832893,-0.7755977471676329,-0.6937952665673652
2.0,2526.0,-7.249859342291134,-5.67748114027329,-4.656728651428285,-0.3982893305221862,-2.537192523642262,-4.2751213089676785,-5.982349727858024,-0.3708748366071244,-4.994418543285612,7.332464111456202,5.289839097587161
3.0,3407.0,-6.606640586571483,-6.011561965698136,-7.421002282001214,-4.61642360116582,3.0374110967302697,-1.701653767864678,-0.9197464970436808,-6.203542485978954,-4.162770961568265,5.820309917775541,1.5815040710160104
4.0,3088.0,-7.16328007504687,-5.183254358023886,-5.679050912184735,-1.5171960075373017,-1.2465683508302041,-3.5780555341407987,-4.731853520301777,-2.074836992507786,-4.778030670602824,7.54714618452632,4.368739587536572
5.0,3787.0,-6.7905460465021275,-5.737901374404815,-6.845487295235982,-3.5924846104249513,1.6220476039336587,-2.321589178460228,-2.179210315065862,-4.83947921268394,-4.366043675972175,6.390831097887187,2.502365490684065
6.0,2915.0,-7.051485216791442,-5.349610740402477,-6.028902495675281,-2.1396414443136247,-0.38617866410325097,-3.201201081960931,-3.966234168561329,-2.904041630298095,-4.654462592186059,7.2003303015919355,3.808954293921549
7.0,3466.0,-6.478876955364468,-5.315300660400396,-6.782649258536455,-3.2447325582319064,1.1150922431158898,-2.330667832519323,-2.4006233649569273,-3.9988960523235346,-3.939994900807764,6.53461970057387,2.9672258318710893
8.0,4496.0,-6.956012751276154,-5.343890131479263,-6.154576654907967,-2.3238961614947726,-0.135867859013922,-3.056054807909441,-3.705195805117199,-3.086589557201201,-4.535337534756894,7.089334640718179,3.6686107170299347
9.0,2447.0,-6.4443500995329455,-5.313231847800928,-6.828098316064773,-3.311366807405798,1.2056151497334806,-2.278176839942453,-2.3062209224046417,-4.064913054403759,-3.8969142737224605,6.494479004926925,2.916471696424142
