aggregate_height,complete_lines,holes,bumpiness,four_rows
-5.727302485017717,2.2473066702645994,-5.312065860904671,-2.1692980408092457,-4.905626512440658
-6.267136098419894,2.211657507729166,-5.199243052745972,-2.5053936873286853,-5.353845634347234
-6.226419746076013,1.9594390610323522,-5.1013350068747965,-2.341674484385164,-5.147367863355743
-3.559336893018361,3.705420210831848,-5.466564327882403,-1.7544002253680684,-5.300568076081183
-6.362313826220058,1.399139071356531,-4.647042853896553,-3.034410004619065,-4.560445419412068
1.068222887356427,-7.770313102884842,-8.285776044158553,-1.995511400552599,-1.1448992716752473
-5.993165011053747,2.247390555893742,-5.256501783331748,-2.334821704684545,-5.126369839660919
-5.969842638616354,2.107420796529796,-5.209663684718645,-2.2530623430356256,-5.023097874296122
-4.691023051763343,2.9442794815563413,-5.385915549474083,-1.9709784389527654,-5.094407100678943
-6.03021361728919,1.842716403806107,-4.994838657280255,-2.581971055440853,-4.740969302492218
-2.7033106070174755,-2.210509196930822,-6.63535949148156,-2.0919634184152973,-3.232112249999504
-6.247044789725862,2.087201401540757,-5.150930749212161,-2.42460715179382,-5.251960067575215
-4.952507953524523,2.936874683129945,-5.329026705582061,-2.1407886827343963,-5.32797954448055
-6.313251271918116,1.8179789704299902,-4.931692980221028,-2.761710788178765,-4.969430189569215
-2.948405869025142,-2.304476968935269,-6.5956805498729185,-2.274708077825739,-3.4495956099399687
